"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 19:45 - 03/01/2024 20:00","BZN|BE","10182.00","10544.62"
"03/01/2024 20:00 - 03/01/2024 20:15","BZN|BE","10076.63","10351.06"
"03/01/2024 20:15 - 03/01/2024 20:30","BZN|BE","10073.43","10208.16"
"03/01/2024 20:30 - 03/01/2024 20:45","BZN|BE","9871.09","10091.88"
"03/01/2024 20:45 - 03/01/2024 21:00","BZN|BE","9691.95","9984.69"
"03/01/2024 21:00 - 03/01/2024 21:15","BZN|BE","9725.68","9912.58"
"03/01/2024 21:15 - 03/01/2024 21:30","BZN|BE","9551.10","9785.72"
"03/01/2024 21:30 - 03/01/2024 21:45","BZN|BE","9494.48","9631.15"
"03/01/2024 21:45 - 03/01/2024 22:00","BZN|BE","9358.41","9525.26"
"03/01/2024 22:00 - 03/01/2024 22:15","BZN|BE","9479.28","9656.88"
"03/01/2024 22:15 - 03/01/2024 22:30","BZN|BE","9525.24","9682.98"
"03/01/2024 22:30 - 03/01/2024 22:45","BZN|BE","9406.20","9691.90"
"03/01/2024 22:45 - 03/01/2024 23:00","BZN|BE","9258.74","9616.68"
"03/01/2024 23:00 - 03/01/2024 23:15","BZN|BE","9308.18","9684.93"
"03/01/2024 23:15 - 03/01/2024 23:30","BZN|BE","9152.51","9567.56"
"03/01/2024 23:30 - 03/01/2024 23:45","BZN|BE","8989.58","9430.35"
"03/01/2024 23:45 - 04/01/2024 00:00","BZN|BE","8792.37","9271.94"
"04/01/2024 00:00 - 04/01/2024 00:15","BZN|BE","8487.37","9368.15"
"04/01/2024 00:15 - 04/01/2024 00:30","BZN|BE","8271.14","9193.31"
"04/01/2024 00:30 - 04/01/2024 00:45","BZN|BE","8233.45","9068.61"
"04/01/2024 00:45 - 04/01/2024 01:00","BZN|BE","8167.92","8921.00"
"04/01/2024 01:00 - 04/01/2024 01:15","BZN|BE","8124.82","8615.31"
"04/01/2024 01:15 - 04/01/2024 01:30","BZN|BE","8187.20","8472.36"
"04/01/2024 01:30 - 04/01/2024 01:45","BZN|BE","8104.27","8384.76"
